# Mass-Consistent Wind Solver 3D Wind Field File
# Target inputs: inputs_single.i
# Interpolated at target time: 0.0 s
# Format: X[m] Y[m] Z[m] U[m/s] V[m/s] W[m/s]
225.0000 105.0000 12.4272 0.0000 0.0000 0.0000
255.0000 105.0000 12.4272 12.0000 3.0000 1.0000
285.0000 105.0000 12.4272 12.0000 3.0000 1.0000
15.0000 135.0000 12.4272 12.0000 3.0000 1.0000
45.0000 135.0000 12.4272 12.0000 3.0000 1.0000
75.0000 135.0000 12.4272 0.0000 0.0000 0.0000
105.0000 135.0000 12.4272 0.0000 0.0000 0.0000
135.0000 135.0000 12.4272 0.0000 0.0000 0.0000
165.0000 135.0000 12.4272 0.0000 0.0000 0.0000
195.0000 135.0000 12.4272 0.0000 0.0000 0.0000
225.0000 135.0000 12.4272 0.0000 0.0000 0.0000
255.0000 135.0000 12.4272 12.0000 3.0000 1.0000
285.0000 135.0000 12.4272 12.0000 3.0000 1.0000
15.0000 165.0000 12.4272 12.0000 3.0000 1.0000
45.0000 165.0000 12.4272 12.0000 3.0000 1.0000
75.0000 165.0000 12.4272 0.0000 0.0000 0.0000
105.0000 165.0000 12.4272 0.0000 0.0000 0.0000
135.0000 165.0000 12.4272 0.0000 0.0000 0.0000
165.0000 165.0000 12.4272 0.0000 0.0000 0.0000
195.0000 165.0000 12.4272 0.0000 0.0000 0.0000
225.0000 165.0000 12.4272 0.0000 0.0000 0.0000
255.0000 165.0000 12.4272 12.0000 3.0000 1.0000
285.0000 165.0000 12.4272 12.0000 3.0000 1.0000
15.0000 195.0000 12.4272 12.0000 3.0000 1.0000
45.0000 195.0000 12.4272 12.0000 3.0000 1.0000
75.0000 195.0000 12.4272 0.0000 0.0000 0.0000
105.0000 195.0000 12.4272 0.0000 0.0000 0.0000
135.0000 195.0000 12.4272 0.0000 0.0000 0.0000
165.0000 195.0000 12.4272 0.0000 0.0000 0.0000
195.0000 195.0000 12.4272 0.0000 0.0000 0.0000
225.0000 195.0000 12.4272 0.0000 0.0000 0.0000
255.0000 195.0000 12.4272 12.0000 3.0000 1.0000
285.0000 195.0000 12.4272 12.0000 3.0000 1.0000
15.0000 225.0000 12.4272 12.0000 3.0000 1.0000
45.0000 225.0000 12.4272 12.0000 3.0000 1.0000
75.0000 225.0000 12.4272 12.0000 3.0000 1.0000
105.0000 225.0000 12.4272 0.0000 0.0000 0.0000
135.0000 225.0000 12.4272 0.0000 0.0000 0.0000
165.0000 225.0000 12.4272 0.0000 0.0000 0.0000
195.0000 225.0000 12.4272 0.0000 0.0000 0.0000
225.0000 225.0000 12.4272 12.0000 3.0000 1.0000
255.0000 225.0000 12.4272 12.0000 3.0000 1.0000
285.0000 225.0000 12.4272 12.0000 3.0000 1.0000
15.0000 255.0000 12.4272 12.0000 3.0000 1.0000
45.0000 255.0000 12.4272 12.0000 3.0000 1.0000
75.0000 255.0000 12.4272 12.0000 3.0000 1.0000
105.0000 255.0000 12.4272 12.0000 3.0000 1.0000
135.0000 255.0000 12.4272 0.0000 0.0000 0.0000
165.0000 255.0000 12.4272 0.0000 0.0000 0.0000
195.0000 255.0000 12.4272 12.0000 3.0000 1.0000
225.0000 255.0000 12.4272 12.0000 3.0000 1.0000
255.0000 255.0000 12.4272 12.0000 3.0000 1.0000
285.0000 255.0000 12.4272 12.0000 3.0000 1.0000
15.0000 285.0000 12.4272 12.0000 3.0000 1.0000
45.0000 285.0000 12.4272 12.0000 3.0000 1.0000
75.0000 285.0000 12.4272 12.0000 3.0000 1.0000
105.0000 285.0000 12.4272 12.0000 3.0000 1.0000
135.0000 285.0000 12.4272 12.0000 3.0000 1.0000
165.0000 285.0000 12.4272 12.0000 3.0000 1.0000
195.0000 285.0000 12.4272 12.0000 3.0000 1.0000
225.0000 285.0000 12.4272 12.0000 3.0000 1.0000
255.0000 285.0000 12.4272 12.0000 3.0000 1.0000
285.0000 285.0000 12.4272 12.0000 3.0000 1.0000
15.0000 15.0000 36.2868 12.0000 3.0000 1.0000
45.0000 15.0000 36.2868 12.0000 3.0000 1.0000
75.0000 15.0000 36.2868 12.0000 3.0000 1.0000
105.0000 15.0000 36.2868 12.0000 3.0000 1.0000
135.0000 15.0000 36.2868 12.0000 3.0000 1.0000
165.0000 15.0000 36.2868 12.0000 3.0000 1.0000
195.0000 15.0000 36.2868 12.0000 3.0000 1.0000
225.0000 15.0000 36.2868 12.0000 3.0000 1.0000
255.0000 15.0000 36.2868 12.0000 3.0000 1.0000
285.0000 15.0000 36.2868 12.0000 3.0000 1.0000
15.0000 45.0000 36.2868 12.0000 3.0000 1.0000
45.0000 45.0000 36.2868 12.0000 3.0000 1.0000
75.0000 45.0000 36.2868 12.0000 3.0000 1.0000
105.0000 45.0000 36.2868 12.0000 3.0000 1.0000
135.0000 45.0000 36.2868 12.0000 3.0000 1.0000
165.0000 45.0000 36.2868 12.0000 3.0000 1.0000
195.0000 45.0000 36.2868 12.0000 3.0000 1.0000
225.0000 45.0000 36.2868 12.0000 3.0000 1.0000
255.0000 45.0000 36.2868 12.0000 3.0000 1.0000
285.0000 45.0000 36.2868 12.0000 3.0000 1.0000
15.0000 75.0000 36.2868 12.0000 3.0000 1.0000
45.0000 75.0000 36.2868 12.0000 3.0000 1.0000
75.0000 75.0000 36.2868 12.0000 3.0000 1.0000
105.0000 75.0000 36.2868 12.0000 3.0000 1.0000
135.0000 75.0000 36.2868 12.0000 3.0000 1.0000
165.0000 75.0000 36.2868 12.0000 3.0000 1.0000
195.0000 75.0000 36.2868 12.0000 3.0000 1.0000
225.0000 75.0000 36.2868 12.0000 3.0000 1.0000
255.0000 75.0000 36.2868 12.0000 3.0000 1.0000
285.0000 75.0000 36.2868 12.0000 3.0000 1.0000
15.0000 105.0000 36.2868 12.0000 3.0000 1.0000
45.0000 105.0000 36.2868 12.0000 3.0000 1.0000
75.0000 105.0000 36.2868 12.0000 3.0000 1.0000
105.0000 105.0000 36.2868 12.0000 3.0000 1.0000
135.0000 105.0000 36.2868 12.0000 3.0000 1.0000
165.0000 105.0000 36.2868 12.0000 3.0000 1.0000
195.0000 105.0000 36.2868 12.0000 3.0000 1.0000
225.0000 105.0000 36.2868 12.0000 3.0000 1.0000
255.0000 105.0000 36.2868 12.0000 3.0000 1.0000
285.0000 105.0000 36.2868 12.0000 3.0000 1.0000
15.0000 135.0000 36.2868 12.0000 3.0000 1.0000
45.0000 135.0000 36.2868 12.0000 3.0000 1.0000
75.0000 135.0000 36.2868 12.0000 3.0000 1.0000
105.0000 135.0000 36.2868 12.0000 3.0000 1.0000
135.0000 135.0000 36.2868 0.0000 0.0000 0.0000
165.0000 135.0000 36.2868 0.0000 0.0000 0.0000
195.0000 135.0000 36.2868 12.0000 3.0000 1.0000
225.0000 135.0000 36.2868 12.0000 3.0000 1.0000
255.0000 135.0000 36.2868 12.0000 3.0000 1.0000
285.0000 135.0000 36.2868 12.0000 3.0000 1.0000
15.0000 165.0000 36.2868 12.0000 3.0000 1.0000
45.0000 165.0000 36.2868 12.0000 3.0000 1.0000
75.0000 165.0000 36.2868 12.0000 3.0000 1.0000
105.0000 165.0000 36.2868 12.0000 3.0000 1.0000
135.0000 165.0000 36.2868 0.0000 0.0000 0.0000
165.0000 165.0000 36.2868 0.0000 0.0000 0.0000
195.0000 165.0000 36.2868 12.0000 3.0000 1.0000
225.0000 165.0000 36.2868 12.0000 3.0000 1.0000
255.0000 165.0000 36.2868 12.0000 3.0000 1.0000
285.0000 165.0000 36.2868 12.0000 3.0000 1.0000
15.0000 195.0000 36.2868 12.0000 3.0000 1.0000
45.0000 195.0000 36.2868 12.0000 3.0000 1.0000
75.0000 195.0000 36.2868 12.0000 3.0000 1.0000
105.0000 195.0000 36.2868 12.0000 3.0000 1.0000
135.0000 195.0000 36.2868 12.0000 3.0000 1.0000
165.0000 195.0000 36.2868 12.0000 3.0000 1.0000
195.0000 195.0000 36.2868 12.0000 3.0000 1.0000
225.0000 195.0000 36.2868 12.0000 3.0000 1.0000
255.0000 195.0000 36.2868 12.0000 3.0000 1.0000
285.0000 195.0000 36.2868 12.0000 3.0000 1.0000
15.0000 225.0000 36.2868 12.0000 3.0000 1.0000
45.0000 225.0000 36.2868 12.0000 3.0000 1.0000
75.0000 225.0000 36.2868 12.0000 3.0000 1.0000
105.0000 225.0000 36.2868 12.0000 3.0000 1.0000
135.0000 225.0000 36.2868 12.0000 3.0000 1.0000
165.0000 225.0000 36.2868 12.0000 3.0000 1.0000
195.0000 225.0000 36.2868 12.0000 3.0000 1.0000
225.0000 225.0000 36.2868 12.0000 3.0000 1.0000
255.0000 225.0000 36.2868 12.0000 3.0000 1.0000
285.0000 225.0000 36.2868 12.0000 3.0000 1.0000
15.0000 255.0000 36.2868 12.0000 3.0000 1.0000
45.0000 255.0000 36.2868 12.0000 3.0000 1.0000
75.0000 255.0000 36.2868 12.0000 3.0000 1.0000
105.0000 255.0000 36.2868 12.0000 3.0000 1.0000
135.0000 255.0000 36.2868 12.0000 3.0000 1.0000
165.0000 255.0000 36.2868 12.0000 3.0000 1.0000
195.0000 255.0000 36.2868 12.0000 3.0000 1.0000
225.0000 255.0000 36.2868 12.0000 3.0000 1.0000
255.0000 255.0000 36.2868 12.0000 3.0000 1.0000
285.0000 255.0000 36.2868 12.0000 3.0000 1.0000
15.0000 285.0000 36.2868 12.0000 3.0000 1.0000
45.0000 285.0000 36.2868 12.0000 3.0000 1.0000
75.0000 285.0000 36.2868 12.0000 3.0000 1.0000
105.0000 285.0000 36.2868 12.0000 3.0000 1.0000
135.0000 285.0000 36.2868 12.0000 3.0000 1.0000
165.0000 285.0000 36.2868 12.0000 3.0000 1.0000
195.0000 285.0000 36.2868 12.0000 3.0000 1.0000
225.0000 285.0000 36.2868 12.0000 3.0000 1.0000
255.0000 285.0000 36.2868 12.0000 3.0000 1.0000
285.0000 285.0000 36.2868 12.0000 3.0000 1.0000
15.0000 15.0000 60.1463 12.0000 3.0000 1.0000
45.0000 15.0000 60.1463 12.0000 3.0000 1.0000
75.0000 15.0000 60.1463 12.0000 3.0000 1.0000
105.0000 15.0000 60.1463 12.0000 3.0000 1.0000
135.0000 15.0000 60.1463 12.0000 3.0000 1.0000
165.0000 15.0000 60.1463 12.0000 3.0000 1.0000
195.0000 15.0000 60.1463 12.0000 3.0000 1.0000
225.0000 15.0000 60.1463 12.0000 3.0000 1.0000
255.0000 15.0000 60.1463 12.0000 3.0000 1.0000
285.0000 15.0000 60.1463 12.0000 3.0000 1.0000
15.0000 45.0000 60.1463 12.0000 3.0000 1.0000
45.0000 45.0000 60.1463 12.0000 3.0000 1.0000
75.0000 45.0000 60.1463 12.0000 3.0000 1.0000
105.0000 45.0000 60.1463 12.0000 3.0000 1.0000
135.0000 45.0000 60.1463 12.0000 3.0000 1.0000
165.0000 45.0000 60.1463 12.0000 3.0000 1.0000
195.0000 45.0000 60.1463 12.0000 3.0000 1.0000
225.0000 45.0000 60.1463 12.0000 3.0000 1.0000
255.0000 45.0000 60.1463 12.0000 3.0000 1.0000
285.0000 45.0000 60.1463 12.0000 3.0000 1.0000
15.0000 75.0000 60.1463 12.0000 3.0000 1.0000
45.0000 75.0000 60.1463 12.0000 3.0000 1.0000
75.0000 75.0000 60.1463 12.0000 3.0000 1.0000
105.0000 75.0000 60.1463 12.0000 3.0000 1.0000
135.0000 75.0000 60.1463 12.0000 3.0000 1.0000
165.0000 75.0000 60.1463 12.0000 3.0000 1.0000
195.0000 75.0000 60.1463 12.0000 3.0000 1.0000
225.0000 75.0000 60.1463 12.0000 3.0000 1.0000
255.0000 75.0000 60.1463 12.0000 3.0000 1.0000
285.0000 75.0000 60.1463 12.0000 3.0000 1.0000
15.0000 105.0000 60.1463 12.0000 3.0000 1.0000
45.0000 105.0000 60.1463 12.0000 3.0000 1.0000
75.0000 105.0000 60.1463 12.0000 3.0000 1.0000
105.0000 105.0000 60.1463 12.0000 3.0000 1.0000
135.0000 105.0000 60.1463 12.0000 3.0000 1.0000
165.0000 105.0000 60.1463 12.0000 3.0000 1.0000
195.0000 105.0000 60.1463 12.0000 3.0000 1.0000
225.0000 105.0000 60.1463 12.0000 3.0000 1.0000
255.0000 105.0000 60.1463 12.0000 3.0000 1.0000
285.0000 105.0000 60.1463 12.0000 3.0000 1.0000
15.0000 135.0000 60.1463 12.0000 3.0000 1.0000
45.0000 135.0000 60.1463 12.0000 3.0000 1.0000
75.0000 135.0000 60.1463 12.0000 3.0000 1.0000
105.0000 135.0000 60.1463 12.0000 3.0000 1.0000
135.0000 135.0000 60.1463 12.0000 3.0000 1.0000
165.0000 135.0000 60.1463 12.0000 3.0000 1.0000
195.0000 135.0000 60.1463 12.0000 3.0000 1.0000
225.0000 135.0000 60.1463 12.0000 3.0000 1.0000
255.0000 135.0000 60.1463 12.0000 3.0000 1.0000
285.0000 135.0000 60.1463 12.0000 3.0000 1.0000
15.0000 165.0000 60.1463 12.0000 3.0000 1.0000
45.0000 165.0000 60.1463 12.0000 3.0000 1.0000
75.0000 165.0000 60.1463 12.0000 3.0000 1.0000
105.0000 165.0000 60.1463 12.0000 3.0000 1.0000
135.0000 165.0000 60.1463 12.0000 3.0000 1.0000
165.0000 165.0000 60.1463 12.0000 3.0000 1.0000
195.0000 165.0000 60.1463 12.0000 3.0000 1.0000
225.0000 165.0000 60.1463 12.0000 3.0000 1.0000
255.0000 165.0000 60.1463 12.0000 3.0000 1.0000
285.0000 165.0000 60.1463 12.0000 3.0000 1.0000
15.0000 195.0000 60.1463 12.0000 3.0000 1.0000
45.0000 195.0000 60.1463 12.0000 3.0000 1.0000
75.0000 195.0000 60.1463 12.0000 3.0000 1.0000
105.0000 195.0000 60.1463 12.0000 3.0000 1.0000
135.0000 195.0000 60.1463 12.0000 3.0000 1.0000
165.0000 195.0000 60.1463 12.0000 3.0000 1.0000
195.0000 195.0000 60.1463 12.0000 3.0000 1.0000
225.0000 195.0000 60.1463 12.0000 3.0000 1.0000
255.0000 195.0000 60.1463 12.0000 3.0000 1.0000
285.0000 195.0000 60.1463 12.0000 3.0000 1.0000
15.0000 225.0000 60.1463 12.0000 3.0000 1.0000
45.0000 225.0000 60.1463 12.0000 3.0000 1.0000
75.0000 225.0000 60.1463 12.0000 3.0000 1.0000
105.0000 225.0000 60.1463 12.0000 3.0000 1.0000
135.0000 225.0000 60.1463 12.0000 3.0000 1.0000
165.0000 225.0000 60.1463 12.0000 3.0000 1.0000
195.0000 225.0000 60.1463 12.0000 3.0000 1.0000
225.0000 225.0000 60.1463 12.0000 3.0000 1.0000
255.0000 225.0000 60.1463 12.0000 3.0000 1.0000
285.0000 225.0000 60.1463 12.0000 3.0000 1.0000
15.0000 255.0000 60.1463 12.0000 3.0000 1.0000
45.0000 255.0000 60.1463 12.0000 3.0000 1.0000
75.0000 255.0000 60.1463 12.0000 3.0000 1.0000
105.0000 255.0000 60.1463 12.0000 3.0000 1.0000
135.0000 255.0000 60.1463 12.0000 3.0000 1.0000
165.0000 255.0000 60.1463 12.0000 3.0000 1.0000
195.0000 255.0000 60.1463 12.0000 3.0000 1.0000
225.0000 255.0000 60.1463 12.0000 3.0000 1.0000
255.0000 255.0000 60.1463 12.0000 3.0000 1.0000
285.0000 255.0000 60.1463 12.0000 3.0000 1.0000
15.0000 285.0000 60.1463 12.0000 3.0000 1.0000
45.0000 285.0000 60.1463 12.0000 3.0000 1.0000
75.0000 285.0000 60.1463 12.0000 3.0000 1.0000
105.0000 285.0000 60.1463 12.0000 3.0000 1.0000
135.0000 285.0000 60.1463 12.0000 3.0000 1.0000
165.0000 285.0000 60.1463 12.0000 3.0000 1.0000
195.0000 285.0000 60.1463 12.0000 3.0000 1.0000
225.0000 285.0000 60.1463 12.0000 3.0000 1.0000
255.0000 285.0000 60.1463 12.0000 3.0000 1.0000
285.0000 285.0000 60.1463 12.0000 3.0000 1.0000
15.0000 15.0000 84.0058 12.0000 3.0000 1.0000
45.0000 15.0000 84.0058 12.0000 3.0000 1.0000
75.0000 15.0000 84.0058 12.0000 3.0000 1.0000
105.0000 15.0000 84.0058 12.0000 3.0000 1.0000
135.0000 15.0000 84.0058 12.0000 3.0000 1.0000
165.0000 15.0000 84.0058 12.0000 3.0000 1.0000
195.0000 15.0000 84.0058 12.0000 3.0000 1.0000
225.0000 15.0000 84.0058 12.0000 3.0000 1.0000
255.0000 15.0000 84.0058 12.0000 3.0000 1.0000
285.0000 15.0000 84.0058 12.0000 3.0000 1.0000
15.0000 45.0000 84.0058 12.0000 3.0000 1.0000
45.0000 45.0000 84.0058 12.0000 3.0000 1.0000
75.0000 45.0000 84.0058 12.0000 3.0000 1.0000
105.0000 45.0000 84.0058 12.0000 3.0000 1.0000
135.0000 45.0000 84.0058 12.0000 3.0000 1.0000
165.0000 45.0000 84.0058 12.0000 3.0000 1.0000
195.0000 45.0000 84.0058 12.0000 3.0000 1.0000
225.0000 45.0000 84.0058 12.0000 3.0000 1.0000
255.0000 45.0000 84.0058 12.0000 3.0000 1.0000
285.0000 45.0000 84.0058 12.0000 3.0000 1.0000
15.0000 75.0000 84.0058 12.0000 3.0000 1.0000
45.0000 75.0000 84.0058 12.0000 3.0000 1.0000
75.0000 75.0000 84.0058 12.0000 3.0000 1.0000
105.0000 75.0000 84.0058 12.0000 3.0000 1.0000
135.0000 75.0000 84.0058 12.0000 3.0000 1.0000
165.0000 75.0000 84.0058 12.0000 3.0000 1.0000
195.0000 75.0000 84.0058 12.0000 3.0000 1.0000
225.0000 75.0000 84.0058 12.0000 3.0000 1.0000
255.0000 75.0000 84.0058 12.0000 3.0000 1.0000
285.0000 75.0000 84.0058 12.0000 3.0000 1.0000
15.0000 105.0000 84.0058 12.0000 3.0000 1.0000
45.0000 105.0000 84.0058 12.0000 3.0000 1.0000
75.0000 105.0000 84.0058 12.0000 3.0000 1.0000
105.0000 105.0000 84.0058 12.0000 3.0000 1.0000
135.0000 105.0000 84.0058 12.0000 3.0000 1.0000
165.0000 105.0000 84.0058 12.0000 3.0000 1.0000
195.0000 105.0000 84.0058 12.0000 3.0000 1.0000
225.0000 105.0000 84.0058 12.0000 3.0000 1.0000
255.0000 105.0000 84.0058 12.0000 3.0000 1.0000
285.0000 105.0000 84.0058 12.0000 3.0000 1.0000
15.0000 135.0000 84.0058 12.0000 3.0000 1.0000
45.0000 135.0000 84.0058 12.0000 3.0000 1.0000
75.0000 135.0000 84.0058 12.0000 3.0000 1.0000
105.0000 135.0000 84.0058 12.0000 3.0000 1.0000
135.0000 135.0000 84.0058 12.0000 3.0000 1.0000
165.0000 135.0000 84.0058 12.0000 3.0000 1.0000
195.0000 135.0000 84.0058 12.0000 3.0000 1.0000
225.0000 135.0000 84.0058 12.0000 3.0000 1.0000
255.0000 135.0000 84.0058 12.0000 3.0000 1.0000
285.0000 135.0000 84.0058 12.0000 3.0000 1.0000
15.0000 165.0000 84.0058 12.0000 3.0000 1.0000
45.0000 165.0000 84.0058 12.0000 3.0000 1.0000
75.0000 165.0000 84.0058 12.0000 3.0000 1.0000
105.0000 165.0000 84.0058 12.0000 3.0000 1.0000
135.0000 165.0000 84.0058 12.0000 3.0000 1.0000
165.0000 165.0000 84.0058 12.0000 3.0000 1.0000
195.0000 165.0000 84.0058 12.0000 3.0000 1.0000
225.0000 165.0000 84.0058 12.0000 3.0000 1.0000
255.0000 165.0000 84.0058 12.0000 3.0000 1.0000
285.0000 165.0000 84.0058 12.0000 3.0000 1.0000
15.0000 195.0000 84.0058 12.0000 3.0000 1.0000
45.0000 195.0000 84.0058 12.0000 3.0000 1.0000
75.0000 195.0000 84.0058 12.0000 3.0000 1.0000
105.0000 195.0000 84.0058 12.0000 3.0000 1.0000
135.0000 195.0000 84.0058 12.0000 3.0000 1.0000
165.0000 195.0000 84.0058 12.0000 3.0000 1.0000
195.0000 195.0000 84.0058 12.0000 3.0000 1.0000
225.0000 195.0000 84.0058 12.0000 3.0000 1.0000
255.0000 195.0000 84.0058 12.0000 3.0000 1.0000
285.0000 195.0000 84.0058 12.0000 3.0000 1.0000
15.0000 225.0000 84.0058 12.0000 3.0000 1.0000
45.0000 225.0000 84.0058 12.0000 3.0000 1.0000
75.0000 225.0000 84.0058 12.0000 3.0000 1.0000
105.0000 225.0000 84.0058 12.0000 3.0000 1.0000
135.0000 225.0000 84.0058 12.0000 3.0000 1.0000
165.0000 225.0000 84.0058 12.0000 3.0000 1.0000
195.0000 225.0000 84.0058 12.0000 3.0000 1.0000
225.0000 225.0000 84.0058 12.0000 3.0000 1.0000
255.0000 225.0000 84.0058 12.0000 3.0000 1.0000
285.0000 225.0000 84.0058 12.0000 3.0000 1.0000
15.0000 255.0000 84.0058 12.0000 3.0000 1.0000
45.0000 255.0000 84.0058 12.0000 3.0000 1.0000
75.0000 255.0000 84.0058 12.0000 3.0000 1.0000
105.0000 255.0000 84.0058 12.0000 3.0000 1.0000
135.0000 255.0000 84.0058 12.0000 3.0000 1.0000
165.0000 255.0000 84.0058 12.0000 3.0000 1.0000
195.0000 255.0000 84.0058 12.0000 3.0000 1.0000
225.0000 255.0000 84.0058 12.0000 3.0000 1.0000
255.0000 255.0000 84.0058 12.0000 3.0000 1.0000
285.0000 255.0000 84.0058 12.0000 3.0000 1.0000
15.0000 285.0000 84.0058 12.0000 3.0000 1.0000
45.0000 285.0000 84.0058 12.0000 3.0000 1.0000
75.0000 285.0000 84.0058 12.0000 3.0000 1.0000
105.0000 285.0000 84.0058 12.0000 3.0000 1.0000
135.0000 285.0000 84.0058 12.0000 3.0000 1.0000
165.0000 285.0000 84.0058 12.0000 3.0000 1.0000
195.0000 285.0000 84.0058 12.0000 3.0000 1.0000
225.0000 285.0000 84.0058 12.0000 3.0000 1.0000
255.0000 285.0000 84.0058 12.0000 3.0000 1.0000
285.0000 285.0000 84.0058 12.0000 3.0000 1.0000
15.0000 15.0000 107.8653 12.0000 3.0000 1.0000
45.0000 15.0000 107.8653 12.0000 3.0000 1.0000
75.0000 15.0000 107.8653 12.0000 3.0000 1.0000
105.0000 15.0000 107.8653 12.0000 3.0000 1.0000
135.0000 15.0000 107.8653 12.0000 3.0000 1.0000
165.0000 15.0000 107.8653 12.0000 3.0000 1.0000
195.0000 15.0000 107.8653 12.0000 3.0000 1.0000
225.0000 15.0000 107.8653 12.0000 3.0000 1.0000
255.0000 15.0000 107.8653 12.0000 3.0000 1.0000
285.0000 15.0000 107.8653 12.0000 3.0000 1.0000
15.0000 45.0000 107.8653 12.0000 3.0000 1.0000
45.0000 45.0000 107.8653 12.0000 3.0000 1.0000
75.0000 45.0000 107.8653 12.0000 3.0000 1.0000
105.0000 45.0000 107.8653 12.0000 3.0000 1.0000
135.0000 45.0000 107.8653 12.0000 3.0000 1.0000
165.0000 45.0000 107.8653 12.0000 3.0000 1.0000
195.0000 45.0000 107.8653 12.0000 3.0000 1.0000
225.0000 45.0000 107.8653 12.0000 3.0000 1.0000
255.0000 45.0000 107.8653 12.0000 3.0000 1.0000
285.0000 45.0000 107.8653 12.0000 3.0000 1.0000
15.0000 75.0000 107.8653 12.0000 3.0000 1.0000
45.0000 75.0000 107.8653 12.0000 3.0000 1.0000
75.0000 75.0000 107.8653 12.0000 3.0000 1.0000
105.0000 75.0000 107.8653 12.0000 3.0000 1.0000
135.0000 75.0000 107.8653 12.0000 3.0000 1.0000
165.0000 75.0000 107.8653 12.0000 3.0000 1.0000
195.0000 75.0000 107.8653 12.0000 3.0000 1.0000
225.0000 75.0000 107.8653 12.0000 3.0000 1.0000
255.0000 75.0000 107.8653 12.0000 3.0000 1.0000
285.0000 75.0000 107.8653 12.0000 3.0000 1.0000
15.0000 105.0000 107.8653 12.0000 3.0000 1.0000
45.0000 105.0000 107.8653 12.0000 3.0000 1.0000
75.0000 105.0000 107.8653 12.0000 3.0000 1.0000
105.0000 105.0000 107.8653 12.0000 3.0000 1.0000
135.0000 105.0000 107.8653 12.0000 3.0000 1.0000
165.0000 105.0000 107.8653 12.0000 3.0000 1.0000
195.0000 105.0000 107.8653 12.0000 3.0000 1.0000
225.0000 105.0000 107.8653 12.0000 3.0000 1.0000
255.0000 105.0000 107.8653 12.0000 3.0000 1.0000
285.0000 105.0000 107.8653 12.0000 3.0000 1.0000
15.0000 135.0000 107.8653 12.0000 3.0000 1.0000
45.0000 135.0000 107.8653 12.0000 3.0000 1.0000
75.0000 135.0000 107.8653 12.0000 3.0000 1.0000
105.0000 135.0000 107.8653 12.0000 3.0000 1.0000
135.0000 135.0000 107.8653 12.0000 3.0000 1.0000
165.0000 135.0000 107.8653 12.0000 3.0000 1.0000
195.0000 135.0000 107.8653 12.0000 3.0000 1.0000
225.0000 135.0000 107.8653 12.0000 3.0000 1.0000
255.0000 135.0000 107.8653 12.0000 3.0000 1.0000
285.0000 135.0000 107.8653 12.0000 3.0000 1.0000
15.0000 165.0000 107.8653 12.0000 3.0000 1.0000
45.0000 165.0000 107.8653 12.0000 3.0000 1.0000
75.0000 165.0000 107.8653 12.0000 3.0000 1.0000
105.0000 165.0000 107.8653 12.0000 3.0000 1.0000
135.0000 165.0000 107.8653 12.0000 3.0000 1.0000
165.0000 165.0000 107.8653 12.0000 3.0000 1.0000
195.0000 165.0000 107.8653 12.0000 3.0000 1.0000
225.0000 165.0000 107.8653 12.0000 3.0000 1.0000
255.0000 165.0000 107.8653 12.0000 3.0000 1.0000
285.0000 165.0000 107.8653 12.0000 3.0000 1.0000
